Arrow Name	Arrow Definition	Arrow Source	Arrow Source Type
API сервера Ассоль	Правила взаимодействия с сервером	{ Border }	Control
Входные параметры для модели	Параметры пациента, полученные от пользователя и служебные параметры в представлении, которое используется в миварной модели	Получить параметры  пациента от  пользователя	Output
Входные параметры пациента	Параметры пациента, которые известны на данный момент	{ Border }	Input
Граф решения	Предстваление логической цепочки рассуждений в графическом виде	Нарисовать  граф решения	Output
Диагноз обследуемого		Вычилить значения  промежуточных  параметров	Output
Запрос на авторизацию к серверу мивара	HTTP запрос к серверу миварного вывода "Ассоль" на авторизацию	Установить соединение  с миварным сервером	Output
Запрос на поиск решения	HTTP запрос к серверу миварного вывода "Ассоль", состоящий из известных параметров и их значений с целью поиска названия диагноза пациента	Запросить  решение	Output
Запрос на получение миварной модели к серверу мивара	HTTP запрос к серверу миварного вывода "Ассоль" на получение миварной модели в json формате	Установить соединение  с миварным сервером	Output
Клинические рекомендации по сахарному диабету	Клинические рекомендации по сахарному диабету одобренные министерством Здравоохранения и Российской ассоциацией эндокринологов	{ Border }	Control
Логическая цепочка рассуждений	Последовательность применяемых правил их входных и выходных параметров со значениями для определения диагноза пациента.	Вычилить значения  промежуточных  параметров	Output
Миварная модель области диагностики сахарного диабета	HTTP ответ с сервера миварного вывода "Ассоль", содержащий миварную модель диагностики сахарного диабета в json формате.	{ Border }	Input
Ответ на авторизацию с сервера мивара	HTTP ответ с сервера миварного вывода "Ассоль", содержащий токен авторизации.	{ Border }	Input
Пользователь	Челокек, пользующиийся системой диагностики сахарного диабета на основе сложных сетей, предположительно, врач	{ Border }	Mechanism
Промежуточные параметры	Параметры, значения которых не были получены от пользователя но рассчитывались на сервере в процессе поиска решения	Вычилить значения  промежуточных  параметров	Output
Решение	HTTP ответ с сервера миварного вывода "Ассоль", содержащий Диагноз пациента и список примененных правил.	{ Border }	Input
Сервер миварного вывода "Ассоль"		{ Border }	Mechanism
