Number,Name,Definition
0,Осущетвлять поездки по дорогам  без использования человека,Осуществлять безопасные перевозки  по автомобильным дорогам без непосредственного управления человеком
  1,Планировать маршрут,Составление маршрута движения автомобиля по дорожной карте
    11,Сформировать запрос на  навигационный сервер,По полученным координатам пункта назначения  текущим координатам сформировать запрос на навигационный сервер
    12,Получить ответ от  навигационного сервера,Парсинг маршрутов из ответа навигационного сервера
    13,Утвердить маршрут,Установка выбранного пользователем маршрута
    14,Сформировать логи  планирования маршрута,Логировать модуль планирования маршрута
  2,Анализировать дорожную ситуацию,Выработать возможные в текущей дорожной ситуации маневры
    21,Детектировать объекты на видео,Разпознавать объекты на видео и относить их к знакам или дорожным объектам
    22,Провести  анализ знаков,Определить дорожный знак
    23,Провести анализ  расположения дорожных  объектов,Выявить дорожные объекты  их вид  координаты  направления и скорости движения
    24,Разработать  возможные  маневры,Разработать все маневры  которые можно совершить в данной дорожной ситуации
    25,Сортировать маневры,
    26,Сформировать отчет  о дорожной ситуации,
  3,Совершать безопасное управление,Проверить безопасность маневра  воплотить маневр в физическое движение автомобиля
    31,Провести анализ  значений параметров  автомобиля,Анализ таких характеристик как скорость  количество оборотов двигателя и тп...
    32,Проверить возможность  воплощения лучшего маневра,Выбрать первый маневр из списка  который физически может быть воплощен
    33,Совершить  маневр,Воплощение лучшего маневра  совершение физического управления
    34,Сформировать  отчет об  управлении,Формирование лог файла  хранящее информацию об управлении
  4,Общаться с пользователем,Получать от пользователя необходимую информацию. Снабжать пользователя необходимой и запрошенной информацией
  5,Обработать логи,Составление общего лога функционирования автомобиля для отправки на анализирующий сервер
