Arrow Name	Arrow Definition	Arrow Source	Arrow Source Type
GPS	Система глобального позиционирования	{ Border }	Mechanism
Видеоданные	Изоображения с камер	{ Border }	Input
Видеокамера	Видеокамера, расположенная на автомобиле	{ Border }	Mechanism
Возможные маршруты	Список возможных маршрутов, обеспечивающих достижение пункта назначения	Получить ответ от  навигационного сервера	Output
Воплощенный маневр	Информация о реализованном маневре	Совершить  маневр	Output
Данные о состоянии дороги	Отчет, описывающий встречаемые по пути  знаки	Провести  анализ знаков	Output
Данные с внешних сеноров	Данные об окружении автомобиля	{ Border }	Input
Данные с внутренних сеноров	Данные о состоянии автомобиля	{ Border }	Input
Закон о персональных данных		{ Border }	Control
Законы об использовании искусственного интеллекта		{ Border }	Control
Запрос на навигационный сервер	Запрос, содержащий текущую точку автомобиля и целевой пункт прибытия	Сформировать запрос на  навигационный сервер	Output
Информация для пользователя в визуальном виде	Экран водителя	Общаться с пользователем	Output
Информация для пользователя в звуковом виде	Звуковые сообщения, звучащие в салоне автомобиля	Общаться с пользователем	Output
Информация о возможных маневрах		Разработать  возможные  маневры	Output
Карты	Дорожная карта местности	{ Border }	Input
Координаты пункта назначения	Географические долгата и широта пункта назначения	Общаться с пользователем	Output
Критерий выбора лучшего маневра	Критерий, по которому осуществляется выбор лучшего маневра	Общаться с пользователем	Output
Лог анализа дорождной ситуации	Лог, хранящий информацию об анализировании дорожной ситуации	Провести анализ  расположения дорожных  объектов	Output
Лог общения с пользователем	Лог файл, хранящий данные о диалоге с пользователем	Общаться с пользователем	Output
Лог планирования маршрута	Лог, хранящий шаги, приведшие к выбору маршрута	Сформировать логи  планирования маршрута	Output
Лог управления	Лог файл модуля управления	Сформировать  отчет об  управлении	Output
Маневр	Физическое движение автомобиля	Совершить  маневр	Output
Маневр для воплощения	Информация о маневре, который необходимо воплотить	Проверить возможность  воплощения лучшего маневра	Output
Маршрут	Маршрут, по которому будет следовать автомобиль	Утвердить маршрут	Output
Ответ от навигационного сервера	Маршрут, предложенный навигационным сервером	{ Border }	Input
Отчет о функционировании	Логи функционирования	Обработать логи	Output
Отчет об анализе дорожной ситуации	Обнаруженные знаки, дорожные объекты	Сформировать отчет  о дорожной ситуации	Output
ПДД	Правила дорожного движения	{ Border }	Control
Подтверждение маршрута пользователем	Подтверждение маршрута	Общаться с пользователем	Output
Пользователь	Человек, находящийся в автомобиле на водительском месте, осуществляющий задачу параметров двмжения	{ Border }	Mechanism
Пользовательские натройки	Желаемые параметры поездки	{ Border }	Input
Пункт назначения	Адрес, в который нужно приехать	{ Border }	Input
Рапознанные дорожные объекты	Все объекты, находящиеся на дороге, например, другие машины, пешеходы, препятствия, ямы	Детектировать объекты на видео	Output
Распознанные знаки	Изображения дорожных знаков со снимков видеокамеры	Детектировать объекты на видео	Output
Результат анализа дорожных объектов	Дорожные объекты, их вид, координаты, направления и скорости движения	Провести анализ  расположения дорожных  объектов	Output
Результат анализа знаков	Тип дорожных знаков	Провести  анализ знаков	Output
Результат анализа телеметрии автомобиля		Провести анализ  значений параметров  автомобиля	Output
Сведения о пробках	Показатели загруженности дорог	{ Border }	Input
Сенсоры	Датчики, позволяющие получить значения какого-то одного параметра	{ Border }	Mechanism
Сортированные маневры	Список информации о возможных маневров, отсортированный по приоритету применения	Сортировать маневры	Output
Текущие координаты	Географическая широта и долгота	{ Border }	Input
Топливо	Вещество, способное выделять энергию, используемое автомобилем	{ Border }	Input
ЦОД	Центр обработки данных	{ Border }	Mechanism
